FlowID,SrcIP,DstIP,SrcPort,DstPort,Protocol,FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwd,TotLenBwd,FwdPktLenMean,FwdPktLenStd,FwdPktLenMin,FwdPktLenMax,BwdPktLenMean,BwdPktLenStd,BwdPktLenMin,BwdPktLenMax,FlowIATMean,FlowIATStd,FlowIATMin,FlowIATMax,FwdIATMean,FwdIATStd,FwdIATMin,FwdIATMax,BwdIATMean,BwdIATStd,BwdIATMin,BwdIATMax,TotalFwdIAT,TotalBwdIAT,TotalBytes,TotalPackets,BytesPerSec,PktsPerSec,FwdBwdPktRatio,FwdBwdByteRatio,FwdPktLenPct25,FwdPktLenPct50,FwdPktLenPct75,FwdPktLenPct90,BwdPktLenPct25,BwdPktLenPct50,BwdPktLenPct75,BwdPktLenPct90,FlowIAT25,FlowIAT50,FlowIAT75,FlowIAT90,FwdIAT25,FwdIAT50,FwdIAT75,FwdIAT90,BwdIAT25,BwdIAT50,BwdIAT75,BwdIAT90,Fwd_SYN,Fwd_FIN,Fwd_RST,Fwd_PSH,Fwd_ACK,Fwd_URG,Bwd_SYN,Bwd_FIN,Bwd_RST,Bwd_PSH,Bwd_ACK,Bwd_URG,MinActive,MeanActive,MaxActive,StdActive,MinIdle,MeanIdle,MaxIdle,StdIdle,SrcPortCat,DstPortCat,URLs
1,2409:40f3:1e:15c5:5479:f7c0:c370:db49,64:ff9b::8c52:7019,57840,443,TCP,14.872499942779541,2,3,179,260,89.5,14.5,75,104,86.66666666666667,10.624918300339484,74,100,3.7181249856948853,6.074392716660862,0.00033783912658691406,14.23670506477356,14.605402946472168,0.0,14.605402946472168,14.605402946472168,7.25206995010376,6.9846351146698,0.26743483543395996,14.23670506477356,14.605402946472168,14.50413990020752,439,5,29.517566091041093,0.3361909577567323,0.6666666666666666,0.6884615384615385,82.25,89.5,96.75,101.1,80.0,86.0,93.0,97.2,0.2004072070121765,0.31772851943969727,3.835446298122406,10.076201558113102,14.605402946472168,14.605402946472168,14.605402946472168,14.605402946472168,3.75975239276886,7.25206995010376,10.74438750743866,12.8397780418396,0,0,0,1,2,0,0,0,0,1,3,0,0.26743483543395996,0.3178974390029907,0.3683600425720215,0.05046260356903076,14.23670506477356,14.23670506477356,14.23670506477356,0.0,Other,Web,
2,10.245.159.193,10.245.159.142,58229,53,UDP,0.03197884559631348,1,1,71,260,71.0,0.0,71,71,260.0,0.0,260,260,0.03197884559631348,0.0,0.03197884559631348,0.03197884559631348,0,0,0,0,0,0,0,0,0.0,0.0,331,2,10350.59251914202,62.541344526537884,1.0,0.27307692307692305,71.0,71.0,71.0,71.0,260.0,260.0,260.0,260.0,0.03197884559631348,0.03197884559631348,0.03197884559631348,0.03197884559631348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03197884559631348,0.03197884559631348,0.03197884559631348,0.0,0,0,0,0,Other,System,
3,10.245.159.193,10.245.159.142,61085,53,UDP,0.03168296813964844,1,1,71,236,71.0,0.0,71,71,236.0,0.0,236,236,0.03168296813964844,0.0,0.03168296813964844,0.03168296813964844,0,0,0,0,0,0,0,0,0.0,0.0,307,2,9689.74872072723,63.12539883209921,1.0,0.3008474576271186,71.0,71.0,71.0,71.0,236.0,236.0,236.0,236.0,0.03168296813964844,0.03168296813964844,0.03168296813964844,0.03168296813964844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03168296813964844,0.03168296813964844,0.03168296813964844,0.0,0,0,0,0,Other,System,
4,10.245.159.193,10.245.159.142,55974,53,UDP,0.03186297416687012,1,1,71,265,71.0,0.0,71,71,265.0,0.0,265,265,0.03186297416687012,0.0,0.03186297416687012,0.03186297416687012,0,0,0,0,0,0,0,0,0.0,0.0,336,2,10545.154957610948,62.76877950958898,1.0,0.2679245283018868,71.0,71.0,71.0,71.0,265.0,265.0,265.0,265.0,0.03186297416687012,0.03186297416687012,0.03186297416687012,0.03186297416687012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03186297416687012,0.03186297416687012,0.03186297416687012,0.0,0,0,0,0,Other,System,
5,10.245.159.193,10.245.159.142,53525,53,UDP,0.02089405059814453,1,1,71,260,71.0,0.0,71,71,260.0,0.0,260,260,0.02089405059814453,0.0,0.02089405059814453,0.02089405059814453,0,0,0,0,0,0,0,0,0.0,0.0,331,2,15841.830115477658,95.72102788808252,1.0,0.27307692307692305,71.0,71.0,71.0,71.0,260.0,260.0,260.0,260.0,0.02089405059814453,0.02089405059814453,0.02089405059814453,0.02089405059814453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02089405059814453,0.02089405059814453,0.02089405059814453,0.0,0,0,0,0,Other,System,
6,10.245.159.193,10.245.159.142,52355,53,UDP,0.02214193344116211,1,1,71,236,71.0,0.0,71,71,236.0,0.0,236,236,0.02214193344116211,0.0,0.02214193344116211,0.02214193344116211,0,0,0,0,0,0,0,0,0.0,0.0,307,2,13865.094519220416,90.32634865941638,1.0,0.3008474576271186,71.0,71.0,71.0,71.0,236.0,236.0,236.0,236.0,0.02214193344116211,0.02214193344116211,0.02214193344116211,0.02214193344116211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02214193344116211,0.02214193344116211,0.02214193344116211,0.0,0,0,0,0,Other,System,
7,2409:40f3:1e:15c5:5479:f7c0:c370:db49,2405:200:1630:1400::b854:b048,55872,443,TCP,1.1087751388549805,64,92,17298,185517,270.28125,450.90726141684337,74,1374,2016.4891304347825,1849.1107527589604,74,9174,0.007153387992612777,0.04876193681622101,0.0,0.6008470058441162,0.017599605378650483,0.0760392627486803,0.0,0.6017978191375732,0.011498990949693618,0.06329541874010274,0.0,0.6009900569915771,1.1087751388549805,1.0464081764221191,202815,156,182918.06236695094,140.69579532699427,0.6956521739130435,0.09324212875369912,74.0,74.0,86.0,1374.0,1316.25,1374.0,2674.0,3974.0,0.0,0.00010704994201660156,0.0008944272994995117,0.006801748275756834,0.000532984733581543,0.0009469985961914062,0.003630518913269043,0.031936168670654304,0.0,0.0007309913635253906,0.0019484758377075195,0.021290063858032227,1,0,0,6,63,0,1,0,0,43,92,0,1.1087751388549805,1.1087751388549805,1.1087751388549805,0.0,0,0,0,0,Other,Web,
8,2409:40f3:1e:15c5:5479:f7c0:c370:db49,2404:6800:4007:80f::200a,53995,443,UDP,25.087535858154297,4,4,372,614,93.0,2.0,91,95,153.5,66.5,87,220,3.5839336940220425,5.123561951146386,0.027733802795410156,14.973621129989624,8.3625119527181,4.6747833502052,5.038911819458008,14.973621129989624,8.334187666575113,4.754208797518661,4.958477973937988,15.057634830474854,25.087535858154297,25.002562999725342,986,8,39.30238527908339,0.3188834505402303,1.0,0.6058631921824105,91.0,93.0,95.0,95.0,87.0,153.5,220.0,220.0,0.04248642921447754,0.056279897689819336,4.972464084625244,8.981318569183353,5.056957364082336,5.075002908706665,10.024312019348145,12.993897485733033,4.972464084625244,4.9864501953125,10.022042512893677,13.043397903442383,0,0,0,0,0,0,0,0,0,0,0,0,0.027733802795410156,0.04224663972854614,0.056279897689819336,0.012412751152738613,4.958477973937988,8.306183099746704,14.973621129989624,4.714604474512459,Other,Web,
9,10.245.159.193,10.245.159.142,53426,53,UDP,0.015197992324829102,1,1,74,326,74.0,0.0,74,74,326.0,0.0,326,326,0.015197992324829102,0.0,0.015197992324829102,0.015197992324829102,0,0,0,0,0,0,0,0,0.0,0.0,400,2,26319.26582477057,131.59632912385285,1.0,0.22699386503067484,74.0,74.0,74.0,74.0,326.0,326.0,326.0,326.0,0.015197992324829102,0.015197992324829102,0.015197992324829102,0.015197992324829102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015197992324829102,0.015197992324829102,0.015197992324829102,0.0,0,0,0,0,Other,System,
10,10.245.159.193,10.245.159.142,54842,53,UDP,0.01477813720703125,1,1,74,246,74.0,0.0,74,74,246.0,0.0,246,246,0.01477813720703125,0.0,0.01477813720703125,0.01477813720703125,0,0,0,0,0,0,0,0,0.0,0.0,320,2,21653.60867320599,135.33505420753744,1.0,0.3008130081300813,74.0,74.0,74.0,74.0,246.0,246.0,246.0,246.0,0.01477813720703125,0.01477813720703125,0.01477813720703125,0.01477813720703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01477813720703125,0.01477813720703125,0.01477813720703125,0.0,0,0,0,0,Other,System,
