FlowID,SrcIP,DstIP,SrcPort,DstPort,Protocol,FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwd,TotLenBwd,FwdPktLenMean,FwdPktLenStd,FwdPktLenMin,FwdPktLenMax,BwdPktLenMean,BwdPktLenStd,BwdPktLenMin,BwdPktLenMax,FlowIATMean,FlowIATStd,FlowIATMin,FlowIATMax,FwdIATMean,FwdIATStd,FwdIATMin,FwdIATMax,BwdIATMean,BwdIATStd,BwdIATMin,BwdIATMax,TotalFwdIAT,TotalBwdIAT,TotalBytes,TotalPackets,BytesPerSec,PktsPerSec,FwdBwdPktRatio,FwdBwdByteRatio,FwdPktLenPct25,FwdPktLenPct50,FwdPktLenPct75,FwdPktLenPct90,BwdPktLenPct25,BwdPktLenPct50,BwdPktLenPct75,BwdPktLenPct90,FlowIAT25,FlowIAT50,FlowIAT75,FlowIAT90,FwdIAT25,FwdIAT50,FwdIAT75,FwdIAT90,BwdIAT25,BwdIAT50,BwdIAT75,BwdIAT90,Fwd_SYN,Fwd_FIN,Fwd_RST,Fwd_PSH,Fwd_ACK,Fwd_URG,Bwd_SYN,Bwd_FIN,Bwd_RST,Bwd_PSH,Bwd_ACK,Bwd_URG,MinActive,MeanActive,MaxActive,StdActive,MinIdle,MeanIdle,MaxIdle,StdIdle,SrcPortCat,DstPortCat
11,10.26.253.193,10.26.253.175,59886,53,TCP,0.1367959976196289,7,6,424,441,60.57142857142857,11.146519544646377,54,86,73.5,38.03397603897512,54,158,0.011399666468302408,0.021999296304329792,0.0,0.0713949203491211,0.022799332936604817,0.04471245121753593,3.600120544433594e-05,0.12267208099365234,0.02636861801147461,0.02933548136933965,0.0,0.0713949203491211,0.1367959976196289,0.13184309005737305,865,13,6323.284416589399,95.03202013371352,1.1666666666666667,0.9614512471655329,54.0,54.0,61.0,74.0,54.0,54.5,63.25,112.0,0.00017023086547851562,0.002079010009765625,0.004623711109161377,0.04263358116149904,0.0010735392570495605,0.004300951957702637,0.005191445350646973,0.06396102905273438,0.00415802001953125,0.00490117073059082,0.05138897895812988,0.0633925437927246,1,1,0,2,6,0,1,1,0,2,6,0,0.1367959976196289,0.1367959976196289,0.1367959976196289,0.0,0,0,0,0,Other,System
12,10.26.253.193,10.26.253.175,63989,53,TCP,0.13650298118591309,7,6,424,419,60.57142857142857,11.146519544646377,54,86,69.83333333333333,29.90215525491246,54,136,0.011375248432159424,0.021864163354984867,4.696846008300781e-05,0.07236003875732422,0.022750496864318848,0.04466676423042074,4.696846008300781e-05,0.12253308296203613,0.02636861801147461,0.0289758357371601,0.0014848709106445312,0.07236003875732422,0.13650298118591309,0.13184309005737305,843,13,6175.689297597527,95.23601526544229,1.1666666666666667,1.0119331742243436,54.0,54.0,61.0,74.0,54.0,54.5,63.25,101.0,0.0003694891929626465,0.0025669336318969727,0.004478931427001953,0.04049313068389894,0.001247704029083252,0.00427401065826416,0.004920482635498047,0.06374752521514893,0.00415802001953125,0.00490117073059082,0.04893898963928223,0.06299161911010742,1,1,0,2,6,0,1,1,0,2,6,0,0.13650298118591309,0.13650298118591309,0.13650298118591309,0.0,0,0,0,0,Other,System
13,10.26.253.193,10.26.253.175,55777,53,TCP,0.13612914085388184,7,6,424,407,60.57142857142857,11.146519544646377,54,86,67.83333333333333,25.484744892233515,54,124,0.01134409507115682,0.021898992720728955,0.0,0.07236003875732422,0.02268819014231364,0.04459145137011524,5.507469177246094e-05,0.12231302261352539,0.02636861801147461,0.02902602451258641,0.0,0.07236003875732422,0.13612914085388184,0.13184309005737305,831,13,6104.497499855508,95.49755414936415,1.1666666666666667,1.0417690417690417,54.0,54.0,61.0,74.0,54.0,54.5,63.25,95.0,0.00021332502365112305,0.0022029876708984375,0.004684507846832275,0.04060168266296388,0.0014252066612243652,0.004169106483459473,0.00472646951675415,0.06355798244476318,0.00415802001953125,0.0063860416412353516,0.04893898963928223,0.06299161911010742,1,1,0,2,6,0,1,1,0,2,6,0,0.13612914085388184,0.13612914085388184,0.13612914085388184,0.0,0,0,0,0,Other,System
14,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,2409:40f3:2a:b3cd::ad,58823,53,TCP,0.07158803939819336,6,4,490,309,81.66666666666667,11.68569876197207,74,106,77.25,5.0682837331783235,74,86,0.007954226599799262,0.018928179568860524,0.0,0.061218976974487305,0.014317607879638672,0.026186665563944517,2.2172927856445312e-05,0.06659698486328125,0.022476991017659504,0.027655208172095193,0.0,0.06143379211425781,0.07158803939819336,0.06743097305297852,799,10,11161.082308117577,139.68813902525127,1.5,1.5857605177993528,74.0,75.0,83.5,96.0,74.0,74.5,77.75,82.7,3.910064697265625e-05,0.0002148151397705078,0.0041179656982421875,0.01654620170593263,0.00025391578674316406,0.0004420280456542969,0.004272937774658203,0.04166736602783204,0.0029985904693603516,0.005997180938720703,0.03371548652648926,0.050346469879150396,1,1,1,2,5,0,1,0,0,1,4,0,0.07158803939819336,0.07158803939819336,0.07158803939819336,0.0,0,0,0,0,Other,System
15,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,2409:40f3:2a:b3cd::ad,57742,53,TCP,0.07749485969543457,6,5,490,465,81.66666666666667,11.68569876197207,74,106,93.0,31.824518849465736,74,156,0.007749485969543457,0.018264436596456053,0.0,0.06210803985595703,0.015498971939086914,0.025637532626887335,2.8848648071289062e-05,0.06652617454528809,0.01848304271697998,0.029221169462499638,0.0,0.06897401809692383,0.07749485969543457,0.07393217086791992,955,11,12323.398013149272,141.94489858077696,1.2,1.053763440860215,74.0,75.0,83.5,96.0,74.0,75.0,86.0,128.0,3.808736801147461e-05,0.000255584716796875,0.004187822341918945,0.0123901844024658,0.0003170967102050781,0.003690958023071289,0.006931781768798828,0.042688417434692386,0.0,0.002479076385498047,0.020962119102478027,0.04976925849914552,1,1,1,2,5,0,1,1,0,2,5,0,0.07749485969543457,0.07749485969543457,0.07749485969543457,0.0,0,0,0,0,Other,System
16,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,2409:40f3:2a:b3cd::ad,58960,53,TCP,0.07713699340820312,6,5,490,453,81.66666666666667,11.68569876197207,74,106,90.6,27.082097407697212,74,144,0.007713699340820312,0.018223102313288875,0.0,0.06193804740905762,0.015427398681640624,0.02565306822352419,6.198883056640625e-05,0.06646919250488281,0.01848304271697998,0.029221169462499638,0.0,0.06897401809692383,0.07713699340820312,0.07393217086791992,943,11,12225.003313387073,142.603432075565,1.2,1.0816777041942605,74.0,75.0,83.5,96.0,74.0,75.0,86.0,120.80000000000001,8.219480514526367e-05,0.0001825094223022461,0.004163861274719238,0.012526178359985332,0.00015497207641601562,0.0032720565795898438,0.007178783416748047,0.04275302886962891,0.0,0.002479076385498047,0.020962119102478027,0.04976925849914552,1,1,1,2,5,0,1,1,0,2,5,0,0.07713699340820312,0.07713699340820312,0.07713699340820312,0.0,0,0,0,0,Other,System
17,2620:1ec:bdf::48,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,443,60118,TCP,0.35333800315856934,4,3,359,222,89.75,16.618889854620253,74,113,74.0,0.0,74,74,0.05888966719309489,0.11135885703601169,0.0,0.3047678470611572,0.11777933438618977,0.16656513205622542,0.0,0.35333800315856934,0.15249145030975342,0.1522763967514038,0.00021505355834960938,0.3047678470611572,0.35333800315856934,0.30498290061950684,581,7,1644.3178905362795,19.81105892212385,1.3333333333333333,1.617117117117117,74.0,86.0,101.75,108.5,74.0,74.0,74.0,74.0,2.3245811462402344e-05,0.00015401840209960938,0.03625035285949707,0.17651498317718506,0.0,0.0,0.17666900157928467,0.2826704025268555,0.07635325193405151,0.15249145030975342,0.22862964868545532,0.2743125677108765,0,1,0,2,4,0,0,2,0,0,3,0,0.35333800315856934,0.35333800315856934,0.35333800315856934,0.0,0,0,0,0,Web,Other
18,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,2404:6800:4007:831::200e,62609,443,UDP,7.426492929458618,34,55,12380,52736,364.11764705882354,479.4126163832204,93,1292,958.8363636363637,512.8240798358675,86,1292,0.0843919651074843,0.7373083771954342,0.0,6.960585832595825,0.22417306177543872,1.199681148108628,2.47955322265625e-05,7.008995771408081,0.13677461059005172,0.9456864465962548,0.0,7.020665884017944,7.3977110385894775,7.385828971862793,65116,89,8768.068672321064,11.984122363728957,0.6181818181818182,0.23475424757281554,93.0,93.0,376.5,1292.0,348.0,1292.0,1292.0,1292.0,0.0,7.855892181396484e-05,0.0012630820274353027,0.026862144470214844,7.510185241699219e-05,0.0001399517059326172,0.005761146545410156,0.07534651756286624,0.0,0.0,0.005340516567230225,0.02840206623077394,0,0,0,0,0,0,0,0,0,0,0,0,0.18051409721374512,0.23295354843139648,0.28539299964904785,0.05243945121765137,6.960585832595825,6.960585832595825,6.960585832595825,0.0,Other,Web
19,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,64:ff9b::cc4f:c5cb,60137,443,TCP,0.04411816596984863,1,1,75,86,75.0,0.0,75,75,86.0,0.0,86,86,0.04411816596984863,0.0,0.04411816596984863,0.04411816596984863,0,0,0,0,0,0,0,0,0.0,0.0,161,2,3649.2904104407035,45.33280012969818,1.0,0.872093023255814,75.0,75.0,75.0,75.0,86.0,86.0,86.0,86.0,0.04411816596984863,0.04411816596984863,0.04411816596984863,0.04411816596984863,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.04411816596984863,0.04411816596984863,0.04411816596984863,0.0,0,0,0,0,Other,Web
20,2409:40f3:2a:b3cd:505b:979:d5f2:8ee3,2405:200:1630:1400::b854:b048,60116,443,TCP,0.013183116912841797,1,1,75,86,75.0,0.0,75,75,86.0,0.0,86,86,0.013183116912841797,0.0,0.013183116912841797,0.013183116912841797,0,0,0,0,0,0,0,0,0.0,0.0,161,2,12212.58986508482,151.70919087061887,1.0,0.872093023255814,75.0,75.0,75.0,75.0,86.0,86.0,86.0,86.0,0.013183116912841797,0.013183116912841797,0.013183116912841797,0.013183116912841797,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.013183116912841797,0.013183116912841797,0.013183116912841797,0.0,0,0,0,0,Other,Web
