FlowID,SrcIP,DstIP,SrcPort,DstPort,Protocol,FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwd,TotLenBwd,FwdPktLenMean,FwdPktLenStd,FwdPktLenMin,FwdPktLenMax,BwdPktLenMean,BwdPktLenStd,BwdPktLenMin,BwdPktLenMax,FlowIATMean,FlowIATStd,FlowIATMin,FlowIATMax,FwdIATMean,FwdIATStd,FwdIATMin,FwdIATMax,BwdIATMean,BwdIATStd,BwdIATMin,BwdIATMax,TotalFwdIAT,TotalBwdIAT,TotalBytes,TotalPackets,BytesPerSec,PktsPerSec,FwdBwdPktRatio,FwdBwdByteRatio,FwdPktLenPct25,FwdPktLenPct50,FwdPktLenPct75,FwdPktLenPct90,BwdPktLenPct25,BwdPktLenPct50,BwdPktLenPct75,BwdPktLenPct90,FlowIAT25,FlowIAT50,FlowIAT75,FlowIAT90,FwdIAT25,FwdIAT50,FwdIAT75,FwdIAT90,BwdIAT25,BwdIAT50,BwdIAT75,BwdIAT90,Fwd_SYN,Fwd_FIN,Fwd_RST,Fwd_PSH,Fwd_ACK,Fwd_URG,Bwd_SYN,Bwd_FIN,Bwd_RST,Bwd_PSH,Bwd_ACK,Bwd_URG,MinActive,MeanActive,MaxActive,StdActive,MinIdle,MeanIdle,MaxIdle,StdIdle,SrcPortCat,DstPortCat
1,2001:4860:4802:38::223,2001:df7:5280:6604:3dcd:d924:2a08:7d7c,443,59199,TCP,13.19648003578186,179,278,17464,397109,97.56424581005587,124.35415300536847,74,1044,1428.4496402877699,244.1444229599778,74,1494,0.02893964920127601,0.3394045854255344,0.0,4.638595104217529,0.07412919033779188,0.5416653389497563,0.0,4.670099973678589,0.04763924257849959,0.44080568975269635,0.0,4.638595104217529,13.194995880126953,13.196070194244385,414573,457,31415.422815470316,34.630446813154585,0.6438848920863309,0.04397784991022616,74.0,74.0,74.0,74.0,1494.0,1494.0,1494.0,1494.0,0.0,0.0,0.0,0.0002295970916748047,0.0,0.0,8.147954940795898e-05,0.0012406110763549826,0.0,0.0,0.0,0.0,0,0,0,10,179,0,0,0,0,29,278,0,0.0014841556549072266,0.17253273725509644,0.4311208724975586,0.16410087704916854,3.578809976577759,4.168783028920491,4.638595104217529,0.44091958790316343,Web,Other
2,192.168.1.100,20.40.50.191,63597,27017,TCP,9.963292121887207,2,1,108,1201,54.0,0.0,54,54,1201.0,0.0,1201,1201,4.9816460609436035,4.9389729499816895,0.04267311096191406,9.920619010925293,9.963292121887207,0.0,9.963292121887207,9.963292121887207,0,0,0,0,9.963292121887207,0.0,1309,3,131.382276459044,0.30110529364181204,2.0,0.08992506244796003,54.0,54.0,54.0,54.0,1201.0,1201.0,1201.0,1201.0,2.512159585952759,4.9816460609436035,7.451132535934448,8.932824420928956,9.963292121887207,9.963292121887207,9.963292121887207,9.963292121887207,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0.0,0.02133655548095703,0.04267311096191406,0.02133655548095703,9.920619010925293,9.920619010925293,9.920619010925293,0.0,Other,Other
3,2001:df7:5280:6604:3dcd:d924:2a08:7d7c,2001:4860:4802:32::223,53217,443,TCP,10.863497972488403,348,139,472293,11592,1357.1637931034484,387.77701875596955,74,1494,83.39568345323741,41.96377655214677,74,413,0.022352876486601652,0.31910911556625576,0.0,4.9835968017578125,0.03125841542004852,0.37887268406046454,0.0,5.001391887664795,0.07847503475520921,0.6036325210738764,0.0,5.101786851882935,10.846670150756836,10.829554796218872,483885,487,44542.28290237908,44.829022956815386,2.5035971223021583,40.74301242236025,1494.0,1494.0,1494.0,1494.0,74.0,74.0,74.0,105.0,0.0,0.0,0.0,0.00013148784637451172,0.0,0.0,0.0,7.348060607910159e-05,0.0,0.0,0.0,0.0006969213485717773,0,0,0,49,348,0,0,0,0,15,139,0,0.0788278579711914,0.2996670405069987,0.5881750583648682,0.2133743909854263,4.980900049209595,4.982248425483704,4.9835968017578125,0.0013483762741088867,Other,Web
4,20.193.137.190,192.168.1.100,27017,63595,TCP,9.960963010787964,2,2,2354,108,1177.0,0.0,1177,1177,54.0,0.0,54,54,3.320321003595988,4.63519179750027,0.04212594032287598,9.875472068786621,9.917598009109497,0.0,9.917598009109497,9.917598009109497,9.918837070465088,0.0,9.918837070465088,9.918837070465088,9.917598009109497,9.918837070465088,2462,4,247.16485718635784,0.4015675990030184,1.0,21.796296296296298,1177.0,1177.0,1177.0,1177.0,54.0,54.0,54.0,54.0,0.04274547100067139,0.0433650016784668,4.959418535232544,7.90905065536499,9.917598009109497,9.917598009109497,9.917598009109497,9.917598009109497,9.918837070465088,9.918837070465088,9.918837070465088,9.918837070465088,0,0,0,2,2,0,0,0,0,0,2,0,0.04212594032287598,0.04274547100067139,0.0433650016784668,0.0006195306777954102,9.875472068786621,9.875472068786621,9.875472068786621,0.0,Other,Other
5,40.81.241.159,192.168.1.100,27017,63596,TCP,9.999109983444214,2,2,2354,108,1177.0,0.0,1177,1177,54.0,0.0,54,54,3.3330366611480713,4.645599173473487,0.04723310470581055,9.902905941009521,9.951876878738403,0.0,9.951876878738403,9.951876878738403,9.950139045715332,0.0,9.950139045715332,9.950139045715332,9.951876878738403,9.950139045715332,2462,4,246.2219141579998,0.40003560383103137,1.0,21.796296296296298,1177.0,1177.0,1177.0,1177.0,54.0,54.0,54.0,54.0,0.04810202121734619,0.048970937728881836,4.975938439369202,7.932118940353394,9.951876878738403,9.951876878738403,9.951876878738403,9.951876878738403,9.950139045715332,9.950139045715332,9.950139045715332,9.950139045715332,0,0,0,2,2,0,0,0,0,0,2,0,0.04723310470581055,0.04810202121734619,0.048970937728881836,0.0008689165115356445,9.902905941009521,9.902905941009521,9.902905941009521,0.0,Other,Other
6,2001:df7:5280:6604:3dcd:d924:2a08:7d7c,2001:df7:4d80:31::13:8754,59909,53,UDP,0.004860877990722656,1,1,99,183,99.0,0.0,99,99,183.0,0.0,183,183,0.004860877990722656,0.0,0.004860877990722656,0.004860877990722656,0,0,0,0,0,0,0,0,0.0,0.0,282,2,58014.21071218364,411.4483029232882,1.0,0.5409836065573771,99.0,99.0,99.0,99.0,183.0,183.0,183.0,183.0,0.004860877990722656,0.004860877990722656,0.004860877990722656,0.004860877990722656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004860877990722656,0.004860877990722656,0.004860877990722656,0.0,0,0,0,0,Other,System
7,2001:df7:5280:6604:3dcd:d924:2a08:7d7c,2001:df7:4d80:31::13:8754,52188,53,UDP,0.028308868408203125,1,1,99,163,99.0,0.0,99,99,163.0,0.0,163,163,0.028308868408203125,0.0,0.028308868408203125,0.028308868408203125,0,0,0,0,0,0,0,0,0.0,0.0,262,2,9255.050262767822,70.6492386470826,1.0,0.6073619631901841,99.0,99.0,99.0,99.0,163.0,163.0,163.0,163.0,0.028308868408203125,0.028308868408203125,0.028308868408203125,0.028308868408203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028308868408203125,0.028308868408203125,0.028308868408203125,0.0,0,0,0,0,Other,System
8,2001:df7:5280:6604:3dcd:d924:2a08:7d7c,2001:df7:4d80:31::13:8754,61437,53,UDP,0.0035619735717773438,1,1,99,183,99.0,0.0,99,99,183.0,0.0,183,183,0.0035619735717773438,0.0,0.0035619735717773438,0.0035619735717773438,0,0,0,0,0,0,0,0,0.0,0.0,282,2,79169.59357429719,561.4864792503347,1.0,0.5409836065573771,99.0,99.0,99.0,99.0,183.0,183.0,183.0,183.0,0.0035619735717773438,0.0035619735717773438,0.0035619735717773438,0.0035619735717773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035619735717773438,0.0035619735717773438,0.0035619735717773438,0.0,0,0,0,0,Other,System
9,192.168.1.100,18.161.246.92,59202,443,TCP,0.14066505432128906,11,9,3675,1381,334.09090909090907,462.8407255094161,54,1494,153.44444444444446,134.23868552454627,54,453,0.007403423911646793,0.011734277163845864,0.0,0.04656410217285156,0.012108302116394043,0.01558997466317978,0.0,0.04656410217285156,0.015229135751724243,0.02175311076179598,0.0,0.06624102592468262,0.12108302116394043,0.12183308601379395,5056,20,35943.53995308411,142.1817244979593,1.2222222222222223,2.661115133960898,54.0,85.0,353.0,990.0,54.0,66.0,233.0,321.0,0.00014591217041015625,0.0004630088806152344,0.014433979988098145,0.01898198127746582,0.0004601478576660156,0.0022019147872924805,0.018619000911712646,0.033865022659301754,0.0,0.003679633140563965,0.02131563425064087,0.04067485332489013,1,0,0,5,10,0,1,0,0,4,9,0,0.14066505432128906,0.14066505432128906,0.14066505432128906,0.0,0,0,0,0,Other,Web
10,192.168.1.100,34.54.84.110,48682,443,TCP,0.28495192527770996,5,5,898,351,179.6,154.97432045342222,54,458,70.2,32.4,54,135,0.03166132503085666,0.07606449764132908,6.580352783203125e-05,0.24583697319030762,0.07123798131942749,0.11240420940851956,0.00013303756713867188,0.26546502113342285,0.06664854288101196,0.10370329230313052,0.0009400844573974609,0.24583697319030762,0.28495192527770996,0.26659417152404785,1249,10,4383.195511954316,35.09363900684,1.0,2.5584045584045585,54.0,93.0,239.0,370.40000000000003,54.0,54.0,54.0,102.60000000000001,0.00021004676818847656,0.0009400844573974609,0.0180819034576416,0.06367774009704594,0.0001907944679260254,0.009676933288574219,0.08072412014007568,0.19156866073608403,0.0011163949966430664,0.009908556938171387,0.07544070482254028,0.17767846584320074,0,1,0,3,5,0,0,1,0,1,5,0,0.28495192527770996,0.28495192527770996,0.28495192527770996,0.0,0,0,0,0,Other,Web
